Title,Year,IMDB,Kills
Once a Theif,1991,http://imdb.com/title/tt0101020/,59
Once Upon A Time In Mexico,2003,http://imdb.com/title/tt0285823/,99
Operation Delta Force,1997,http://www.imdb.com/title/tt0119839/,120
Out For Justice,1991,http://imdb.com/title/tt0102614/,20
Out of Sight,1998,http://www.imdb.com/title/tt0120780/,9
The Outlaw Josey Wales,1976,http://www.imdb.com/title/tt0075029/,120
Pan's Labyrinth,2006,http://www.imdb.com/title/tt0457430/,30
The Patriot,1998,http://www.imdb.com/title/tt0120786/,42
The Patriot,2000,http://www.imdb.com/title/tt0187393/,123
Patriot Games,1992,http://www.imdb.com/title/tt0105112/,35
Payback,1999,http://imdb.com/title/tt0120784/,18
Pearl Harbor,2001,http://imdb.com/title/tt0213149/,153
Phantom of the Opera,2004,http://www.imdb.com/title/tt0293508/,3
"Pirates of the Caribbean: Curse of the
Black Pearl",2003,http://www.imdb.com/title/tt0325980,42
Pirates of the Caribbean: Dead Man's Chest,2006,http://www.imdb.com/title/tt0383574/,90
Plan 9 from Outer Space,1959,http://www.imdb.com/title/tt0052077/,7
Platoon Leader,1988,http://www.imdb.com/title/tt0095877/,106
Point of No Return,1993,http://www.imdb.com/title/tt0107843/,35
Predator,1987,http://www.imdb.com/title/tt0093773/,64
The Prestige,2006,http://www.imdb.com/title/tt0482571/,7
Prince of Jutland,1994,http://www.imdb.com/title/tt0110891/,38
Pulp,1972,http://imdb.com/title/tt0069134/,6
Pulp Fiction,1994,http://www.imdb.com/title/tt0110912/,10
The Punisher (1989),1989,http://www.imdb.com/title/tt0098141/,96
Push,2009,http://www.imdb.com/title/tt0465580/,24
Raiders of the Lost Ark,1981,http://www.imdb.com/title/tt0082971/,84
Rambo,2008,http://www.imdb.com/title/tt0462499/,247
Rambo: First Blood Part II,1985,http://www.imdb.com/title/tt0089880/,67
Rambo III,1988,http://www.imdb.com/title/tt0095956/,127
Raw Deal,1986,http://www.imdb.com/title/tt0091828/,38
Red Dawn,1984,http://www.imdb.com/title/tt0087985/,118
Red Planet,2000,http://www.imdb.com/title/tt0199753/,4
Red Scorpion,1989,http://www.imdb.com/title/tt0098180/,104
Reign of Fire,2002,http://www.imdb.com/title/tt0253556/,29
The Replacement Killers,1998,http://www.imdb.com/title/tt0120008/,38
Reservoir Dogs,1992,http://www.imdb.com/title/tt0105236/,12
Resident Evil: Apocalypse,2004,http://www.imdb.com/title/tt0318627/,123
Resident Evil: Extinction,2007,http://www.imdb.com/title/tt0432021/,124
Riders,2002,http://imdb.com/title/tt0282552/,6
Ripley's Game,2002,http://www.imdb.com/title/tt0265651/,11
Ritana,2002,http://www.imdb.com/title/tt0339579/,91
Road House,1989,http://www.imdb.com/title/tt0098206/,7
RoboCop,1987,http://us.imdb.com/title/tt0093870/,34
RocknRolla,2008,http://www.imdb.com/title/tt1032755/,11
The Rock,1996,http://www.imdb.com/title/tt0117500/,24
Romeo is Bleeding,1993,http://us.imdb.com/title/tt0107983/,15
Ronin,1998,http://imdb.com/title/tt0122690/,34
The Rundown,2003,http://www.imdb.com/title/tt0327850/,46
The Running Man,1987,http://www.imdb.com/title/tt0093894/,41
Running Scared,2006,http://www.imdb.com/title/tt0404390/,22
Sahara,2005,http://www.imdb.com/title/tt0318649/,68
Saving Private Ryan,1998,http://www.imdb.com/title/tt0120815/,255
Scarface,1983,http://www.imdb.com/title/tt0086250/,44
Scorpion King,2002,http://www.imdb.com/title/tt0277296/,105
Secret of NIMH,1982,http://www.imdb.com/title/tt0084649/,12
Secret Window,2004,http://www.imdb.com/title/tt0363988/,4
Serenity,2005,http://www.imdb.com/title/tt0379786/,74
Severance,2006,http://www.imdb.com/title/tt0464196/,28
Shaft 2000,2000,http://www.imdb.com/title/tt0162650/,22
Shaun of the Dead,2004,http://www.imdb.com/title/tt0365748/,60
The Shawshank Redemption,1994,http://www.imdb.com/title/tt0111161/,4
Shoot 'Em Up,2007,http://www.imdb.com/title/tt0465602/,151
Showdown In Little Tokyo,1991,http://www.imdb.com/title/tt0102915/,48
Signs,2002,http://www.imdb.com/title/tt0286106/,3
The Silence of the Lambs,1991,http://www.imdb.com/title/tt0102926,8
Silent Trigger,1996,http://www.imdb.com/title/tt0117653/,35
Sin City,2005,http://www.imdb.com/title/tt0401792/,53
Sleepy Hollow,1999,http://www.imdb.com/title/tt0162661/,25
Slumdog Millionaire,2008,http://www.imdb.com/title/tt1010048/,8
Smokin' Aces,2007,http://www.imdb.com/title/tt0475394/,47
Snakes on a Plane,2006,http://www.imdb.com/title/tt0417148/,60
Snatch,2000,http://www.imdb.com/title/tt0208092/,26
Spartan,2004,http://www.imdb.com/title/tt0360009/,15
Speed,1994,http://www.imdb.com/title/tt0111257/,7
The Spy Who Loved Me,1977,http://www.imdb.com/title/tt0076752/,73
Stardust,2007,http://www.imdb.com/title/tt0486655/,22
Star Trek: Nemesis,2002,http://www.imdb.com/title/tt0253754/,54
Star Wars I,1999,http://www.imdb.com/title/tt0120915/,34
Star Wars II,2002,http://www.imdb.com/title/tt0121765/,55
Star Wars III,2005,http://www.imdb.com/title/tt0121766/,115
Star Wars IV,1977,http://www.imdb.com/title/tt0076759/,75
Star Wars V,1980,http://imdb.com/title/tt0080684/,30
Star Wars VI,1983,http://imdb.com/title/tt0086190/,69
Starship Troopers,1997,http://imdb.com/title/tt0120201/,256
Stone Cold,1991,http://www.imdb.com/title/tt0102984/,45
Strange Days,1995,http://us.imdb.com/title/tt0114558/,12
Strange Wilderness,2008,http://www.imdb.com/title/tt0489282/,15
Summer of Sam,1999,http://www.imdb.com/title/tt0162677/,10
Sunshine,2007,http://www.imdb.com/title/tt0448134/,15
Super Mario Bros.,1993,http://www.imdb.com/title/tt0108255/,8
Superman Returns,2006,http://imdb.com/title/tt0348150/,10
"Sweeney Todd: The Demon Barber of Fleet
Street",2007,http://www.imdb.com/title/tt0408236/,12
Sweepers,1998,http://www.imdb.com/title/tt0120851/,74
Swordfish,2001,http://www.imdb.com/title/tt0244244/,41
Syriana,2005,http://www.imdb.com/title/tt0365737/,11
Taken,2008,http://www.imdb.com/title/tt0936501/,35
Tango & Cash,1989,http://www.imdb.com/title/tt0098439/,20
Taxi Driver,1976,http://www.imdb.com/title/tt0075314/,4
Team America,2004,http://www.imdb.com/title/tt0372588/,78
Terminator,1984,http://www.imdb.com/title/tt0088247/,34
Terminator 2: Judgment Day,1991,http://www.imdb.com/title/tt0103064/,23
Terminator 3,2003,http://www.imdb.com/title/tt0181852/,14
There Will Be Blood,2007,http://www.imdb.com/title/tt0469494/,4
The Thing,1982,http://www.imdb.com/title/tt0084787/,21
Things to Do in Denver When You're Dead,1995,http://www.imdb.com/title/tt0114660/,15
The Third Man,1949,http://www.imdb.com/title/tt0041959/,4
Thunderball,1965,http://www.imdb.com/title/tt0059800/,47
Timeline,2003,http://www.imdb.com/title/tt0300556/,65
Titanic,1997,http://www.imdb.com/title/tt0120338/,307
To Die For,1995,http://us.imdb.com/title/tt0114681/,2
Tombstone,1993,http://www.imdb.com/title/tt0108358/,55
Total Recall,1990,http://www.imdb.com/title/tt0100802/,77
Transformers: The Movie,1986,http://www.imdb.com/title/tt0092106/,47
The Transporter,2002,http://www.imdb.com/title/tt0293662/,8
